-3.250045891345355598e-01,6.658804300048290492e-02,1.682500856833197167e+00,1.058242807403543262e+00,6.364002564361517233e-01
1.656015627752364106e+00,-7.206759240398054045e-01,7.855408712116589420e-01,-7.117649675876474014e-01,-1.199004350008092246e+00
1.396326929227240887e+00,4.756722861784936085e-01,2.877166087460149568e-01,1.738713909297632532e-01,-2.137810694484275853e+00
-6.656116494329639838e-03,1.190697663944959128e+00,-2.437511695918615218e-01,3.264646274059695430e-01,-4.053095524766738844e-01
-9.551195282076153648e-01,-1.375971558593309108e-01,-9.413792498740994885e-01,9.470532107005102951e-01,-9.608892878837075324e-01
-3.038497251789581410e-01,1.636286605584994946e+00,-1.672979075118078640e+00,8.537002381912829341e-01,-7.639940945957780505e-01
6.550444987992436185e-02,-4.587954975988708384e-01,7.357546235030107962e-01,-2.619431376226361685e+00,-1.565399298270918615e-01
-1.010398689742670220e+00,5.852659225785593611e-01,1.128418231910247371e+00,-8.221628140656814798e-01,-4.122669321174238927e-02
-3.776926900264807596e-01,-3.225200105106350024e-01,8.149056175657101164e-01,-8.198575206343583499e-01,-1.126663721863830236e+00
-7.712765247724830964e-01,1.157226902784926015e+00,-9.843851862731035629e-01,1.062846419818032073e-01,-1.378791787387910306e+00
